epoch,lr,step,test_acc,test_acc_top5,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
43,,1769,0.48640191555023193,0.7018563151359558,3.0370092391967773,,,,,,,0.824999988079071,0.9900000095367432,1.2155567407608032
43,0.07117044925689697,1799,,,,,0.5833333134651184,,1.0,,1.9294242858886719,,,
43,,1799,0.4900312125682831,0.7047045826911926,3.01548171043396,,,,,,,0.8299999833106995,0.9900000095367432,1.1782766580581665
43,,1803,,,,0.7245935201644897,,0.9471544623374939,,1.6574220657348633,,,,
44,,1829,0.4908580780029297,0.7065879702568054,2.996028184890747,,,,,,,0.8349999785423279,0.9900000095367432,1.1448301076889038
44,,1844,,,,0.7540650367736816,,0.9461382031440735,,1.644264817237854,,,,
45,0.06917447596788406,1849,,,,,0.875,,1.0,,1.816202163696289,,,
45,,1859,0.4933847188949585,0.7080581188201904,2.9786510467529297,,,,,,,0.8500000238418579,0.9900000095367432,1.1109144687652588
45,,1885,,,,0.7682926654815674,,0.9496951103210449,,1.5418115854263306,,,,
46,,1889,0.49513038992881775,0.7093442678451538,2.957909345626831,,,,,,,0.8550000190734863,0.9850000143051147,1.077618956565857
46,0.06714200228452682,1899,,,,,0.9166666865348816,,0.9583333134651184,,1.1448743343353271,,,
46,,1919,0.49751901626586914,0.7113658785820007,2.9387242794036865,,,,,,,0.8550000190734863,0.9900000095367432,1.0469685792922974
46,,1926,,,,0.7642276287078857,,0.9461382031440735,,1.535784363746643,,,,
47,0.06507689505815506,1949,,,,,0.875,,1.0,,1.2841455936431885,,,
47,,1949,0.49981600046157837,0.7126520276069641,2.9205102920532227,,,,,,,0.8650000095367432,0.9900000095367432,1.0169540643692017
47,,1967,,,,0.7627032399177551,,0.9593495726585388,,1.4955106973648071,,,,
48,,1979,0.4996781647205353,0.7142595052719116,2.904179334640503,,,,,,,0.875,0.9900000095367432,0.9886940717697144
48,0.06298309564590454,1999,,,,,0.875,,1.0,,0.9039618968963623,,,
48,,2008,,,,0.8008130192756653,,0.9613820910453796,,1.4189770221710205,,,,
49,,2009,0.5023425817489624,0.7161431312561035,2.8853507041931152,,,,,,,0.875,0.9900000095367432,0.9585481882095337
49,,2039,0.5034911632537842,0.7185779213905334,2.8673412799835205,,,,,,,0.8849999904632568,0.9950000047683716,0.9288086891174316
49,0.06086457520723343,2049,,,,,0.75,,1.0,,1.3643791675567627,,,
49,,2049,,,,0.7936992049217224,,0.9563007950782776,,1.393508791923523,,,,
50,,2069,0.5053288340568542,0.7200939059257507,2.8507699966430664,,,,,,,0.8899999856948853,0.9950000047683716,0.9019813537597656
50,,2090,,,,0.8033536672592163,,0.9669715166091919,,1.352020263671875,,,,
51,0.058725375682115555,2099,,,,,0.7083333134651184,,0.9583333134651184,,1.5251245498657227,,,
51,,2099,0.508820116519928,0.7216097116470337,2.832671880722046,,,,,,,0.9100000262260437,0.9950000047683716,0.8781928420066833
51,,2129,0.5096470713615417,0.7239527106285095,2.814695358276367,,,,,,,0.925000011920929,0.9950000047683716,0.8499987721443176
